City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,57.18,58,99,5.59,ZA,1686006453
1,grytviken,-54.2811,-36.5092,36.25,97,100,4.56,GS,1686006453
2,bredasdorp,-34.5322,20.0403,47.82,76,61,3.78,ZA,1686006453
3,nadi,-17.8,177.4167,82.4,65,75,3.44,FJ,1686006454
4,kananga,-5.8958,22.4178,70.29,87,56,2.77,CD,1686006454
5,gadzhiyevo,69.2551,33.3362,36.32,97,100,22.01,RU,1686006454
6,port-aux-francais,-49.35,70.2167,37.4,63,52,37.67,TF,1686006454
7,invercargill,-46.4,168.35,42.55,84,29,4.14,NZ,1686006454
8,albany,42.6001,-73.9662,69.58,48,100,6.46,US,1686006265
9,minas de marcona,-15.2119,-75.1103,58.51,78,1,10.4,PE,1686006455
10,uturoa,-16.7333,-151.4333,80.13,70,1,7.61,PF,1686006455
11,holualoa,19.6228,-155.9522,78.55,74,40,10.36,US,1686006455
12,adamstown,-25.066,-130.1015,69.46,60,58,20.33,PN,1686006455
13,timmins,48.4669,-81.3331,64.22,39,75,11.5,CA,1686006325
14,kendari,-3.945,122.4989,75.16,86,24,2.17,ID,1686006455
15,ilulissat,69.2167,-51.1,32.02,74,75,13.8,GL,1686006451
16,puerto natales,-51.7236,-72.4875,35.1,93,45,2.53,CL,1686006456
17,olonkinbyen,70.9221,-8.7187,31.82,84,57,6.85,SJ,1686006456
18,vico del gargano,41.8983,15.9576,63.7,80,100,4.36,IT,1686006456
19,kristiansund,63.1115,7.732,48.85,76,75,9.22,NO,1686006456
20,iskateley,67.6803,53.1512,39.85,75,95,23.76,RU,1686006456
21,tralee,52.2704,-9.7026,55.02,84,38,0.72,IE,1686006457
22,trairi,-3.2778,-39.2689,78.76,80,7,8.97,BR,1686006457
23,georgetown,5.4112,100.3354,80.53,86,40,3.44,MY,1686006326
24,badger,64.8,-147.5333,71.85,27,20,4.61,US,1686006457
25,aral,40.5156,81.2636,71.87,22,2,4.56,CN,1686006457
26,port mathurin,-19.6833,63.4167,76.3,73,12,22.35,MU,1686006457
27,papatowai,-46.5619,169.4708,47.77,72,21,4.59,NZ,1686006457
28,tosontsengel,48.7567,98.2839,52.63,64,42,3.24,MN,1686006458
29,nuuk,64.1835,-51.7216,35.13,99,100,5.7,GL,1686006458
30,stanley,54.868,-1.6985,51.53,88,75,3.44,GB,1686006431
31,illizi,26.4833,8.4667,84.47,15,8,5.97,DZ,1686006458
32,colonia,50.9333,6.95,63.95,58,0,3.44,DE,1686006258
33,punta arenas,-53.15,-70.9167,37.51,93,0,9.22,CL,1686006458
34,ushuaia,-54.8,-68.3,38.73,95,100,5.19,AR,1686006459
35,laguna,38.421,-121.4238,84.43,50,0,10.36,US,1686006459
36,st. john's,47.5649,-52.7093,45.28,96,100,4.61,CA,1686006284
37,lorengau,-2.0226,147.2712,84.42,74,10,8.59,PG,1686006459
38,bethel,41.3712,-73.414,72.75,50,100,5.75,US,1686006292
39,khandyga,62.6667,135.6,59.05,58,88,5.93,RU,1686006459
40,salqin,36.1381,36.4532,64.47,87,27,4.83,SY,1686006460
41,ciudad acuna,29.3232,-100.9522,95.41,33,0,8.05,MX,1686006460
42,kaduna,10.5222,7.4383,78.75,71,59,5.14,NG,1686006460
43,talnakh,69.4865,88.3972,44.26,66,100,10.27,RU,1686006460
44,wailua homesteads,22.0669,-159.378,80.85,73,0,9.22,US,1686006460
45,aasiaat,68.7098,-52.8699,30.96,81,93,10.13,GL,1686006199
46,yellowknife,62.456,-114.3525,58.03,74,73,8.25,CA,1686006461
47,fisterra,42.9049,-9.2629,63.75,83,10,4.92,ES,1686006461
48,tamanrasset,22.785,5.5228,75.11,15,0,5.75,DZ,1686006461
49,namibe,-15.1961,12.1522,67.77,64,4,9.42,AO,1686006461
50,kimbe,-5.5502,150.1429,83.98,73,84,1.16,PG,1686006462
51,adrar,20.5022,-10.0711,86.32,18,18,10.6,MR,1686006462
52,trujillo,-8.116,-79.03,73.36,83,73,6.91,PE,1686006436
53,bonthe,7.5264,-12.505,79.02,86,99,7.58,SL,1686006196
54,kargopol',61.5071,38.9456,44.67,90,97,7.29,RU,1686006462
55,hawaiian paradise park,19.5933,-154.9731,82.72,73,40,11.5,US,1686006462
56,thompson,55.7435,-97.8558,77.16,57,75,4.61,CA,1686006171
57,codrington,-38.2667,141.9667,59.9,78,55,14.38,AU,1686006463
58,alofi,-19.0595,-169.9187,80.49,69,75,16.11,NU,1686006463
59,dolisie,-4.1997,12.6739,69.24,95,66,3.02,CG,1686006463
60,aberdeen,57.1437,-2.0981,50.49,84,100,3.44,GB,1686006269
61,leo,11.1,-2.1,82.26,64,93,10.09,BF,1686006463
62,waitangi,-43.9535,-176.5597,50.83,83,100,4.0,NZ,1686006463
63,edinburgh of the seven seas,-37.0676,-12.3116,53.62,78,100,24.34,SH,1686006463
64,al burayqah,30.4062,19.5739,80.37,45,100,16.26,LY,1686006464
65,cidreira,-30.1811,-50.2056,61.0,70,81,6.04,BR,1686006464
66,atafu village,-8.5421,-172.5159,82.8,74,17,6.6,TK,1686006464
67,gryazi,52.4966,39.9359,50.61,78,6,4.7,RU,1686006464
68,suzun,53.7841,82.3116,68.02,69,0,4.18,RU,1686006464
69,blackmans bay,-43.0167,147.3167,50.74,86,77,10.22,AU,1686006465
70,udachny,66.4167,112.4,34.45,80,92,13.69,RU,1686006465
71,sterling,39.0062,-77.4286,77.79,42,0,11.5,US,1686006392
72,inarajan village,13.2736,144.7484,84.4,83,100,13.31,GU,1686006465
73,yakeshi,49.2833,120.7333,54.43,49,8,4.56,CN,1686006465
74,lillehammer,61.1146,10.4674,52.75,76,59,3.96,NO,1686006465
75,iqaluit,63.7506,-68.5145,36.7,74,60,3.0,CA,1686006466
76,urzhar,47.093,81.6294,67.46,28,58,3.42,KZ,1686006466
77,tiksi,71.6872,128.8694,35.11,95,100,3.11,RU,1686006466
78,howrah,22.5892,88.3103,86.0,84,20,4.61,IN,1686006466
79,pitoa,9.3833,13.5333,76.41,82,100,4.65,CM,1686006466
80,mugia,43.1041,-9.2179,63.91,86,7,6.33,ES,1686006466
81,kingston,17.997,-76.7936,87.21,83,20,1.01,JM,1686006467
82,taoyuan city,24.9937,121.297,85.98,79,20,3.44,TW,1686006467
83,chui,-33.6971,-53.4616,51.15,79,46,1.45,UY,1686006406
84,nishinomiya-hama,34.7167,135.3333,70.2,85,100,5.73,JP,1686006436
85,as sulayyil,20.4607,45.5779,90.54,16,47,6.51,SA,1686006467
86,kiboga,0.9161,31.7742,61.39,91,83,3.22,UG,1686006467
87,quang ngai,15.1167,108.8,78.62,86,98,3.24,VN,1686006468
88,la'ie,21.6477,-157.9253,85.39,64,43,5.01,US,1686006468
89,jinchang,38.4953,102.1739,64.35,46,100,8.7,CN,1686006468
90,necochea,-38.5473,-58.7368,52.14,51,98,14.16,AR,1686006468
91,porto novo,6.4965,2.6036,79.34,82,97,9.01,BJ,1686006468
92,nurota,40.5614,65.6886,77.18,12,0,4.9,UZ,1686006468
93,griffith,41.5284,-87.4237,82.13,35,0,11.5,US,1686006469
94,touros,-5.1989,-35.4608,77.81,81,36,11.59,BR,1686006428
95,revda,56.801,59.9303,46.76,62,24,1.57,RU,1686006469
96,omaruru,-21.4333,15.9333,55.8,13,0,4.34,NA,1686006469
